title,link,datetime,price,bedrooms,square footage,post body
"1 Bd, Great New Building in UK Village",/chc/apa/5305596691.html,2015-11-13 11:45,1495,1,650,"
ID: 2005185
Rent: $1495 / Month
Available Date: NOW
Beds: 1
Baths: 1
Pet: Small Dog Ok


Great Location for this BRAND NEW!! 1bd

Near Iowa and Western... Will be beautiful when finished!!

In unit laundry, Walk up, Quiet St.


John Coffin
TAS
show contact info

show contact info

"
16940 Old Elm Dr.,/sox/apa/5278242457.html,2015-11-13 11:45,1575,4,,"
DESCRIPTION:
GREAT 4 BEDROOM AND 2.5 BATHROOM HOME IN COUNTRY CLUB HILLS. AVAILABLE FOR RENT WITH A RENT TO OWN OPTION. THIS HOME INCLUDES A FINISHED BASEMENT, DETACHED GARAGE, AND SPACIOUS BACKYARD. RECENTLY REDEVELOPED WHICH INCLUDES BLACK APPLIANCES, LIKE NEW CABINETS, HARDWOOD LAMINATE FLOORING, CERAMIC TILE AND BERBER CARPETING. PROFESSIONALLY MANAGED. CALL
show contact info
TODAY TO SCHEDULE YOUR SHOWING!

AMENITIES:
-4 Bedroom
-2.5 Bathroom
-1031 Sq. Footage
-Garage-Detached
-Finished Basement
-Backyard
-Pets Allowed
-Non-Smoking

SECURITY DEPOSIT:
$1,875

View more properties and fill out a tenant application form at www.rentmack.com

Please leave a phone number or email address when calling to schedule a showing.

Oak Park Ave. Realty LTD
"
"Stunning NEW 2BR Rehab with Heat Included, No Deposit!",/chc/apa/5305579249.html,2015-11-13 11:45,1475,2,,"
ID: 1539714
Rent: $1475 / Month
Available Date: NOW
Beds: 2
Baths: 1
Pet: Cat Ok

Features: Parking For Rent


Beautiful 2BR/1BA with:
Hardwood Floors
Queen Sized Bedrooms
New Kitchen with Granite Counter Tops, SS Appliances
Dishwasher
Heat, Included in Rent
No Deposit, $250 One Time Move-in Fee!


John Coffin
TAS
show contact info

show contact info

"
High End Apartments on the Nexus of Lincoln Park & Lake,/chc/apa/5305582637.html,2015-11-13 11:45,2335,2,,"
ID: 1958400
Rent: $2335 / Month
Available Date: September 1st
Beds: 2
Baths: 1.5
Pet: Cat Ok

Features: Cats Okay, Dishwasher, Eat-in Kitchen, Elevator, Granite Counter Tops, Hardwood Floors, High Ceiling, Laundry in Building, Marble Bath, Microwave, Parking For Rent, Sundeck


High End Renovation in South Lakeview Includes the Following:

* Hardwood Floors
* High Ceilings
* Granite Counter Tops
* Maple Cabinetry
* Stainless Steel Appliances
* Dishwasher & Microwave
* Marble Bathroom
* Floor to Ceiling Windows
* Cat Okay
* Laundry
* Awesome Rooftop Deck
* Garage Parking Available
* Cats Okay
* Close to EL & So Much More!


** sim pics **


John Coffin
TAS
show contact info

show contact info

"
Awesome Rehab in East Lincoln Park All High End,/chc/apa/5305573140.html,2015-11-13 11:45,1335,"","","
ID: 1958412
Rent: $1335 / Month
Available Date: October 1st
Beds: Studio
Baths: 1
Pet: Cat Ok

Features: Cats Okay, Dishwasher, Granite Counter Tops, Hardwood Floors, High Ceiling, Laundry in building, Microwave, Modern Bath, Modern Kitchen, Roof deck, Stainless steel appliances


Very Nice Apartment in Lincoln Park Includes the Following:

* Hardwood Floors
* High Ceilings
* Lots of Light
* Granite Counter Tops
* Stainless Steel Appliances
* Dishwasher & Microwave
* Laundry
* Cats Okay
* Close to EL
* Work-out Facility
* Amazing Rooftop Deck


John Coffin
TAS
show contact info

show contact info

"
"Fantastic Locale! Studio, W/D in unit, Gym, Close to Lake and Shopping",/chc/apa/5268355969.html,2015-11-13 11:45,1580,"","","
ID: 937433
Rent: $1580 / Month
Available Date: -
Beds: Studio
Baths: 1
Pet: Pet Friendly

Features: Balcony-Some Units, Central Air-Yes, Dishwasher-All, Dogs-No Weight Limit, Laundry- W/D In Unit, Pool-Outdoor, Security-24 Hour Doorman, Stove-Gas


When is your move date? (is it flexible, if so how far in either direction)?
Do you have any pets? (weight and breed)?
Need parking?
Budget (just rent)?
Which neighborhoods are you considering?
Have you toured any properties yet? (so that I don't double up on my research)
When are you available for a showing?



Known as ""The Gateway to Chicago,"" Streeterville is home to some of the city's most desirable destinations. Sparkling with culture, art, entertainment, and nightlife, there's no question that this captivating neighborhood belongs first to its residents.

Featuring thoughtful floorplans, refined finishes, stainless steel appliances, energy-efficient floor-to-ceiling windows and abundant closet space. Residents can enjoy the state of the art fitness center, outdoor pool and grill area, business center, party room and many other thoughtful amenities.

Dogs are welcome however there are breed and weight restrictions so please tell me about your pet.

Parking is available for an additional cost. 

Call to schedule a showing and don't forget to ask about our other buildings.

Disclaimer: 12 month lease term unless otherwise noted. Pricing, availability and specials are subject to change at any time without notice. Information above is believed to be accurate; however is subject to errors and omissions. Photos may be of model unit. Actual available apartment may vary.


Hannah Hensley
HotSpot Rentals(License #481.011892)
show contact info




Disclaimer: Pricing, availability and specials are subject to change at any time without notice. Information above is believed to be accurate; however is subject to errors and omissions. Photos may be of model unit. Actual available apartment may vary.
"
"Large 2 Bedroom, w/ Large Den in Prime Lincoln Park, In-Unit W/D!!",/chc/apa/5305577166.html,2015-11-13 11:45,1950,2,,"
ID: 1975803
Rent: $1950 / Month
Available Date: NOW
Beds: 2.5
Baths: 1
Pet: No Pet

Features: Laundry in Unit, Patio or deck, Yard


Very Large 2 Bedroom Plus Den Which Can Be Used As A Bedroom As Well. Walking Distance To Everything In Lincoln Park and Old Town. In-Unit W/D!!!


John Coffin
TAS
show contact info

show contact info

"
4131 Indian Hill Dr.,/sox/apa/5278319708.html,2015-11-13 11:45,1650,3,,"
DESCRIPTION:
A MUST SEE! GREAT 3 BEDROOM AND 2 BATHROOM HOME AVAILABLE FOR RENT IN COUNTRY CLUB HILLS. RECENTLY REDEVELOPED. THE UPDATED KITCHEN HAS WHITE APPLIANCES, BEAUTIFUL BACKSPLASH, AND MORE. BERBER CARPETING IN THE BEDROOMS AND CERAMIC TILE IN THE BATHROOMS. THIS HOME ALSO INCLUDES AN ATTACHED GARAGE, FINISHED BASEMENT, AND GREAT BACKYARD! PROFESSIONALLY MANAGED. CALL
show contact info
TODAY TO SCHEDULE YOUR SHOWING! 

AMENITIES:
-3 Bedroom
-2 Bathroom
-1139 Sq. Footage
-Garage-Attached
-Finished Basement
-Backyard
-Pets Allowed
-Non-Smoking

SECURITY DEPOSIT:
$1,950

View more properties and fill out a tenant application form at www.rentmack.com

Please leave a phone number or email address when calling to schedule a showing.

Oak Park Ave. Realty LTD
"
Apartment living at its best! Welcome home!!,/nch/apa/5310890927.html,2015-11-13 11:45,1130,1,,"
WELCOME HOME TO SAVANNA RIDGE!
18400 Belvidere Road
Wildwood, IL 60030
Phone:
show contact info

Fax:
show contact info


LEASE PRICE: 
1 Bedroom/1 Bath - $1130
2 Bedrooms/1 Bath - $1255 - $1285
2 Bedrooms/1.5 Baths - $1,310
2 Bedrooms/2 Baths - $1340 - $1425

$300-$500 Look & Lease Special"" for 1 BEDROOM UNITS! 
CONTACT MANAGER FOR DETAILS!!! 

**ALL PRICES SUBJECT TO CHANGE!!**

Building Features:
Fitness center 
Clubroom access with big screen TV 
Fully equipped sprinklers
Elevator access 
Heated indoor parking available 
Scenic views, picnic area, & nature pond 
Lake access to Gages Lake 
Gurnee Mills shopping is just MINUTES AWAY! 
Apartment Features: 
Oak cabinetry 
Fully equipped gourmet kitchens 
In unit washer & dryer 
Designer mini/vertical blinds 
Individual gas heating & air conditioning 
Generous closet space 
Wall to wall plush carpet
Private intercom entry
Modern light fixtures 
Private terrace or balcony

Pet Policy:
One(1) pet max per unit with a $250 non-refundable pet fee 
CALL FOR MORE INFORMATION:
show contact info
!
"
SHORT TERM! 1 bedroom Located in Lincoln Park,/chc/apa/5314093717.html,2015-11-13 11:45,1395,1,,"
Come check out 451 W. Wrightwood Ave. apartments ready to move in TODAY!

Located just blocks away from the lake on a tree-lined side street in the heart of Lincoln Park right near lake front running/biking trails. Vintage exterior and lobby with modern apartments!

****End your lease 04/30/16 OR 05/31/16 OR 06/30/16****

Rent: $1395/Month

Move-in Fee WAIVED!
Application $60 but like us on FB and it's $40!

COMPLEMENTARY AMENITIES:
Internet
DirecTV Choice Package Programming
Cooking gas
Heat
Sundeck


APARTMENT FEATURES:
Hardwood floors
Laundry Room
Bike Room
Fitness Room
Rooftop
Secured Package Room
Doorman
Intercom controlled tele-entry
Ceiling fans
Spacious closets
Responsive 24-hour engineer
Restaurants, shopping, and nightlife nearby


BJB Properties Inc.
Contact Manny Pearse
Prices subject to change
Equal Housing Opportunity
"
